time_sec,frame,pred_0,pred_1,pred_2,pred_3,pred_4,pred_5,pred_6,pred_7,pred_8,pred_9,pred_10,pred_11,pred_12,pred_13,pred_14,pred_15,pred_16,pred_17,pred_18,pred_19,pred_20,pred_21,pred_22,pred_23,pred_24,pred_25,pred_26,pred_27
6.766667,406,6.593391418457031,11.200766563415527,8.304030418395996,5.004513740539551,6.11863374710083,17.519685745239258,17.392303466796875,6.330079555511475,3.631317615509033,32.231781005859375,33.19116973876953,9.707974433898926,-1.8319711685180664,17.1917724609375,22.258255004882812,17.01508903503418,1.4948384761810303,-2.6125731468200684,4.60465669631958,18.68772315979004,0.5068851709365845,-1.9449963569641113,6.131110191345215,4.847686290740967,2.0715909004211426,0.44114336371421814,2.945000648498535,2.220637083053589
6.783334,407,6.967156887054443,11.028843879699707,8.379951477050781,4.550596237182617,6.190280914306641,17.991823196411133,16.847129821777344,5.4366374015808105,3.311863660812378,33.25839614868164,33.53017807006836,8.682283401489258,-1.7232329845428467,17.699350357055664,21.83324432373047,15.846210479736328,1.5007119178771973,-2.1645374298095703,3.964794874191284,17.437076568603516,0.4722168445587158,-2.0642688274383545,6.104257583618164,4.980945587158203,2.2980711460113525,0.6875160932540894,2.9679226875305176,2.346564531326294
6.800000,408,7.036523818969727,11.020580291748047,8.395953178405762,4.516913414001465,6.220186710357666,18.13316535949707,16.855709075927734,5.353100776672363,3.2982308864593506,33.46443176269531,33.632080078125,8.600180625915527,-1.6927123069763184,17.790626525878906,21.831178665161133,15.750974655151367,1.5238971710205078,-2.0957789421081543,3.8932840824127197,17.30339813232422,0.4512758255004883,-2.072066307067871,6.120397090911865,5.01263427734375,2.324125289916992,0.6912527084350586,2.954458713531494,2.3797192573547363
6.816667,409,7.07804012298584,11.021224975585938,8.403645515441895,4.498440742492676,6.2347731590271,18.270160675048828,16.895490646362305,5.308987617492676,3.3336374759674072,33.702850341796875,33.798282623291016,8.595759391784668,-1.637890338897705,17.888967514038086,21.86369514465332,15.704330444335938,1.547485113143921,-2.0651144981384277,3.839125394821167,17.214521408081055,0.4260478615760803,-2.079892635345459,6.132922649383545,5.042138576507568,2.344637870788574,0.7017160654067993,2.9440226554870605,2.4043374061584473
6.833334,410,7.082161903381348,11.020952224731445,8.40062141418457,4.506434917449951,6.243725299835205,18.29106330871582,16.91042137145996,5.3203959465026855,3.3334836959838867,33.72878646850586,33.81968307495117,8.600403785705566,-1.6364068984985352,17.90319061279297,21.87619972229004,15.715579986572266,1.5572218894958496,-2.0577890872955322,3.8399641513824463,17.22691535949707,0.4202588200569153,-2.085430383682251,6.136536121368408,5.049480438232422,2.3424408435821533,0.696805477142334,2.946153163909912,2.4145185947418213
6.850000,411,7.07572078704834,11.019696235656738,8.391159057617188,4.486782073974609,6.2542805671691895,18.301624298095703,16.89970588684082,5.3064961433410645,3.362584352493286,33.78501510620117,33.85807418823242,8.61130142211914,-1.6083159446716309,17.944753646850586,21.8907413482666,15.687568664550781,1.5600965023040771,-2.0670056343078613,3.8223202228546143,17.190025329589844,0.42693910002708435,-2.0713653564453125,6.136543273925781,5.0438737869262695,2.3465676307678223,0.7155721783638,2.9389500617980957,2.4050352573394775
6.866667,412,7.084104537963867,11.020302772521973,8.399381637573242,4.5090556144714355,6.253874778747559,18.282798767089844,16.90801429748535,5.326666831970215,3.3269388675689697,33.70902633666992,33.799625396728516,8.59520149230957,-1.6491913795471191,17.899368286132812,21.879812240600586,15.719928741455078,1.5547502040863037,-2.057469367980957,3.84552264213562,17.23741340637207,0.42912566661834717,-2.0856850147247314,6.1327385902404785,5.050797939300537,2.343226909637451,0.6985378861427307,2.9429526329040527,2.4145090579986572
6.883334,413,7.099123477935791,11.01933765411377,8.401032447814941,4.513190269470215,6.25701379776001,18.327207565307617,16.929468154907227,5.322758197784424,3.3321785926818848,33.768699645996094,33.84304428100586,8.599884986877441,-1.6391034126281738,17.923261642456055,21.898330688476562,15.73731803894043,1.561453104019165,-2.0370819568634033,3.8474552631378174,17.235258102416992,0.41797924041748047,-2.0997865200042725,6.135087013244629,5.063052177429199,2.3471741676330566,0.6951956152915955,2.943150043487549,2.424605131149292
6.900000,414,7.106548309326172,11.019079208374023,8.402420043945312,4.51105260848999,6.270963668823242,18.336271286010742,16.92941665649414,5.316102504730225,3.3325858116149902,33.791141510009766,33.85526657104492,8.59411907196045,-1.6403312683105469,17.944515228271484,21.913389205932617,15.72507095336914,1.569279432296753,-2.0395772457122803,3.8369193077087402,17.229206085205078,0.4234217405319214,-2.0936145782470703,6.140110015869141,5.06771993637085,2.34963059425354,0.6974456310272217,2.935603618621826,2.427503824234009
6.916667,415,7.114748477935791,11.03325366973877,8.415338516235352,4.508011341094971,6.262973785400391,18.38377571105957,16.961986541748047,5.303080081939697,3.3625502586364746,33.86697006225586,33.92026901245117,8.618008613586426,-1.6027545928955078,17.958406448364258,21.913488388061523,15.738021850585938,1.5584197044372559,-2.030104637145996,3.838597297668457,17.205947875976562,0.4011175334453583,-2.098773241043091,6.145648002624512,5.063477039337158,2.34920334815979,0.7019750475883484,2.944554328918457,2.4218804836273193
6.933334,416,7.132885456085205,11.02578067779541,8.418464660644531,4.514233589172363,6.269624710083008,18.377714157104492,16.946317672729492,5.2963714599609375,3.313436508178711,33.81426239013672,33.860992431640625,8.571704864501953,-1.6363587379455566,17.9461669921875,21.9068603515625,15.736712455749512,1.5656845569610596,-2.000703811645508,3.8466720581054688,17.21770477294922,0.405830055475235,-2.106851100921631,6.149547100067139,5.071911334991455,2.3539037704467773,0.685509443283081,2.945539951324463,2.4298508167266846
6.950000,417,7.126076698303223,11.028264999389648,8.412009239196777,4.50803279876709,6.275148391723633,18.39304542541504,16.946908950805664,5.295205116271973,3.346184730529785,33.8834114074707,33.91342544555664,8.592615127563477,-1.6005029678344727,17.97848892211914,21.914777755737305,15.721962928771973,1.5746662616729736,-2.0140247344970703,3.823791742324829,17.19146156311035,0.40576475858688354,-2.0924131870269775,6.150230884552002,5.070401191711426,2.3569915294647217,0.7026516795158386,2.938222885131836,2.4297738075256348
6.966667,418,7.136808395385742,11.039490699768066,8.422795295715332,4.518077373504639,6.274434566497803,18.41874885559082,16.96624755859375,5.296890735626221,3.354144334793091,33.91944885253906,33.9467658996582,8.612030029296875,-1.589261770248413,18.002347946166992,21.947444915771484,15.771775245666504,1.579834222793579,-1.9940799474716187,3.8472886085510254,17.218217849731445,0.399050235748291,-2.100329875946045,6.159361362457275,5.074341773986816,2.3607497215270996,0.6994256377220154,2.9436659812927246,2.4270286560058594
6.983334,419,7.137821674346924,11.02409553527832,8.411321640014648,4.5003204345703125,6.282153129577637,18.420366287231445,16.937105178833008,5.276895046234131,3.3451290130615234,33.9383430480957,33.94571304321289,8.584731101989746,-1.584510087966919,18.0225887298584,21.93824005126953,15.725628852844238,1.5857772827148438,-1.9871965646743774,3.8211886882781982,17.17572021484375,0.40558528900146484,-2.0944809913635254,6.1540303230285645,5.0779924392700195,2.3670899868011475,0.7052361369132996,2.9364075660705566,2.430469274520874
7.000000,420,7.145090579986572,11.026605606079102,8.411721229553223,4.505112648010254,6.289524555206299,18.448171615600586,16.969501495361328,5.287569522857666,3.351874589920044,33.96316146850586,33.966983795166016,8.58935546875,-1.5920429229736328,18.019916534423828,21.94213104248047,15.721294403076172,1.591749668121338,-1.9906278848648071,3.8162240982055664,17.17960548400879,0.3966256380081177,-2.101491928100586,6.159192085266113,5.086144924163818,2.359574317932129,0.6981577277183533,2.9359731674194336,2.442885637283325
7.016667,421,7.162757873535156,11.029606819152832,8.421798706054688,4.511168003082275,6.297806739807129,18.478530883789062,16.969215393066406,5.282577037811279,3.353520154953003,34.0291633605957,34.01439666748047,8.596059799194336,-1.5817711353302002,18.06660270690918,21.980350494384766,15.772679328918457,1.6050446033477783,-1.9568721055984497,3.8254029750823975,17.19875144958496,0.3978389501571655,-2.105443239212036,6.162414073944092,5.100048065185547,2.371870756149292,0.6967095136642456,2.9315390586853027,2.4518795013427734
7.033334,422,7.163042068481445,11.03496265411377,8.421768188476562,4.526933670043945,6.299463272094727,18.48109245300293,16.983488082885742,5.296333312988281,3.3684003353118896,34.041412353515625,34.03036117553711,8.625468254089355,-1.5672543048858643,18.07328224182129,22.005958557128906,15.824760437011719,1.6096765995025635,-1.9507800340652466,3.85368013381958,17.235393524169922,0.3983321487903595,-2.1130640506744385,6.162997722625732,5.098912715911865,2.3713719844818115,0.701287031173706,2.9359846115112305,2.4419236183166504
7.050000,423,7.155813694000244,11.016644477844238,8.413079261779785,4.496125221252441,6.291445255279541,18.456064224243164,16.94651222229004,5.265636444091797,3.334618091583252,33.978816986083984,33.96397018432617,8.565576553344727,-1.5955874919891357,18.0434627532959,21.949480056762695,15.714606285095215,1.595130205154419,-1.9715486764907837,3.8046114444732666,17.16030502319336,0.4040241539478302,-2.101856231689453,6.153687477111816,5.094156742095947,2.373060941696167,0.6988478899002075,2.9234628677368164,2.4492270946502686
7.066667,424,7.173532009124756,11.040008544921875,8.43142318725586,4.541172981262207,6.306094169616699,18.475147247314453,16.96678352355957,5.301674842834473,3.3486030101776123,34.044559478759766,34.0316162109375,8.616296768188477,-1.569566249847412,18.089767456054688,22.023019790649414,15.857992172241211,1.6252162456512451,-1.9207769632339478,3.8720710277557373,17.268985748291016,0.40633440017700195,-2.1049728393554688,6.176584720611572,5.107028007507324,2.3804285526275635,0.6968784332275391,2.9420723915100098,2.4394567012786865
7.083334,425,7.181162357330322,11.029376029968262,8.424522399902344,4.509562969207764,6.309537410736084,18.496122360229492,16.95531463623047,5.256425380706787,3.3498375415802,34.063175201416016,34.02223205566406,8.582513809204102,-1.5610055923461914,18.099231719970703,21.998701095581055,15.772692680358887,1.616851568222046,-1.927045226097107,3.831749200820923,17.182144165039062,0.40373337268829346,-2.094883918762207,6.178828716278076,5.10233211517334,2.384254217147827,0.7034963965415955,2.929140090942383,2.433469772338867
7.100000,426,7.196412086486816,11.033452033996582,8.430870056152344,4.521468162536621,6.323160648345947,18.55293083190918,17.011499404907227,5.271632671356201,3.362541675567627,34.13350296020508,34.08720016479492,8.600740432739258,-1.5573480129241943,18.107511520385742,22.014842987060547,15.797552108764648,1.6164019107818604,-1.92011296749115,3.8356776237487793,17.19870376586914,0.3864734470844269,-2.1172661781311035,6.175887107849121,5.11712121963501,2.3758888244628906,0.6942216157913208,2.9308786392211914,2.4514718055725098
