epoch,train_loss,tr_l1,tr_mse,tr_ssim,tr_tc_mm,va_l1,va_mse,va_ssim,va_tc_mm
1,0.22019506313584067,0.2573671340942383,0.11846932023763657,0.2910284996032715,8.61701306076937,0.23367920517921448,0.1156729981303215,0.23449818789958954,15.020742893218994
2,0.15940899334170602,0.17292043566703796,0.05096057802438736,0.6431220769882202,3.3945250012153805,0.21329684555530548,0.08403173834085464,0.469343364238739,7.787914156913757
3,0.14946470748294483,0.14099600911140442,0.036474909633398056,0.7459851503372192,3.8378377536008523,0.19988031685352325,0.07452167570590973,0.5675179958343506,6.951924681663513
4,0.13941442661664702,0.15924683213233948,0.04797491431236267,0.7296136617660522,5.055760720441508,0.23677094280719757,0.1055518090724945,0.5584065914154053,6.785079002380371
5,0.13152048940008337,0.18001119792461395,0.05981670692563057,0.7593886852264404,5.0955666016007575,0.2828100323677063,0.14160944521427155,0.5174540281295776,7.610697627067566
6,0.12954935025085101,0.12722492218017578,0.03327978774905205,0.7797927260398865,4.515246748924255,0.237871915102005,0.10719435662031174,0.4834548234939575,8.679443836212158
7,0.12505723468282007,0.1414289027452469,0.039089564234018326,0.7834540009498596,5.92487075509027,0.26802000403404236,0.12619855999946594,0.5463168621063232,7.3826292753219604
8,0.13221502676606178,0.1292688101530075,0.029941376298666,0.8200589418411255,5.187857804256816,0.2232053428888321,0.08320692181587219,0.6195552349090576,7.937321424484253
9,0.12338534979657693,0.11102042347192764,0.026026953011751175,0.8378250598907471,3.645055912608324,0.24874290823936462,0.10651656240224838,0.5341725945472717,6.187793970108032
10,0.11636869914152405,0.11588656157255173,0.027008309960365295,0.838776707649231,4.841677768978962,0.22861972451210022,0.0917384997010231,0.5944010019302368,6.649404764175415
11,0.11232721568508582,0.1066308245062828,0.02365436963737011,0.845651388168335,3.5580299638731536,0.2341499924659729,0.09407691657543182,0.5534793138504028,6.153741121292114
12,0.11204289136962457,0.1427355259656906,0.038881946355104446,0.8377939462661743,4.589967135080071,0.2517571747303009,0.11451581865549088,0.5868979096412659,7.393163442611694
13,0.10934113372455943,0.09925831109285355,0.02186698466539383,0.8713222146034241,3.313592394424039,0.2362772822380066,0.097824327647686,0.5733157992362976,4.877578139305115
14,0.1052383038807999,0.10083483159542084,0.02152867056429386,0.858184814453125,3.022593318722969,0.20169658958911896,0.07209034264087677,0.6106867790222168,5.097538113594055
15,0.1125167076560584,0.09993711858987808,0.0219041109085083,0.870764434337616,3.706401092368503,0.22730225324630737,0.08797141164541245,0.5906004309654236,5.591756045818329
16,0.10498850013722073,0.10117515921592712,0.02222016267478466,0.8711124062538147,2.9058775075299796,0.22149896621704102,0.08879760652780533,0.5911770462989807,4.157377064228058
17,0.10021078417246992,0.09604083746671677,0.020544055849313736,0.8780444860458374,3.5652533686438272,0.21561096608638763,0.08033459633588791,0.6181789040565491,5.159117341041565
18,0.10251082852482796,0.10477664321660995,0.022145070135593414,0.8499066829681396,3.0433152363050815,0.18939095735549927,0.061066512018442154,0.6506739258766174,3.6378754675388336
