epoch,train_loss,tr_l1,tr_mse,tr_ssim,tr_tc_mm,va_l1,va_mse,va_ssim,va_tc_mm
1,0.2068227674279894,0.2569124102592468,0.12401607632637024,0.23145969212055206,9.171492869513376,0.23179398477077484,0.11488670110702515,0.23397032916545868,13.193526268005371
2,0.16506585223334178,0.16296498477458954,0.04648089036345482,0.6334895491600037,6.047771400851863,0.19960027933120728,0.06839878857135773,0.5857375860214233,9.349695444107056
3,0.16254018545150756,0.15096011757850647,0.042427197098731995,0.7022994160652161,4.917353356736047,0.17461484670639038,0.05574583262205124,0.6743740439414978,6.340416312217712
4,0.14990325144359043,0.17086657881736755,0.05841672420501709,0.6053003072738647,8.344910438784531,0.18970264494419098,0.06383498013019562,0.6062144041061401,6.933843970298767
5,0.14465475039822714,0.1529046893119812,0.04100571200251579,0.7043237686157227,6.7300259748739855,0.20841483771800995,0.07212016731500626,0.6392589211463928,5.1891539096832275
6,0.13888735388006482,0.1481570452451706,0.043869324028491974,0.681903600692749,3.903780011832714,0.2628566026687622,0.12059967964887619,0.45053449273109436,4.107079058885574
7,0.12765071583645685,0.13875284790992737,0.03768401965498924,0.752349853515625,5.899842420220375,0.21313613653182983,0.0813235491514206,0.5764110684394836,5.9452818632125854
8,0.1328501209616661,0.11786916106939316,0.028998935595154762,0.8206415176391602,4.85051555463246,0.1974141150712967,0.06892392039299011,0.6708221435546875,6.657023191452026
9,0.12402430240597044,0.1372874528169632,0.03710891678929329,0.764667809009552,3.5766950774405686,0.257769912481308,0.12013290822505951,0.5364854335784912,4.209216117858887
10,0.12456338235310145,0.11977749317884445,0.030424069613218307,0.8176523447036743,4.138603491974728,0.2823443114757538,0.14087945222854614,0.51479172706604,5.847517132759094
11,0.12106956605400358,0.12515789270401,0.03220070153474808,0.8200502395629883,6.1554588688271386,0.20182621479034424,0.06799943745136261,0.6952042579650879,4.617686212062836
12,0.11964890488556452,0.12531626224517822,0.03329240530729294,0.7972328662872314,4.384441438530173,0.24844788014888763,0.10527922958135605,0.5841065049171448,4.552122592926025
13,0.11312727800437382,0.11744052171707153,0.02950812131166458,0.8507455587387085,3.4032274846519743,0.2630544602870941,0.11740294098854065,0.5745441913604736,3.8242107629776
14,0.11202754293169294,0.1387287825345993,0.03767991438508034,0.8127031922340393,5.521178851170199,0.22609248757362366,0.08098500967025757,0.6803349256515503,7.393233895301819
