epoch,train_loss,tr_l1,tr_mse,tr_ssim,tr_tc_mm,va_l1,va_mse,va_ssim,va_tc_mm
1,0.3233114331960678,0.300156831741333,0.15902598202228546,0.0032215199898928404,4.878106266260147,0.2525928318500519,0.13967089354991913,0.00025657203514128923,5.9617568254470825
2,0.2922546714544296,0.2942794859409332,0.15237635374069214,-0.0018336308421567082,4.6630561500787735,0.24974258244037628,0.13530027866363525,-0.008445719256997108,6.042759656906128
3,0.2594304084777832,0.2887415289878845,0.14620572328567505,0.013639634475111961,5.861771360039711,0.24502408504486084,0.12961050868034363,0.0060812621377408504,6.112097859382629
4,0.2381303459405899,0.28447356820106506,0.1413702666759491,0.030515827238559723,9.918322637677193,0.2409069836139679,0.12445416301488876,0.026216469705104828,9.564080119132996
5,0.2115938365459442,0.2809998393058777,0.13740307092666626,0.06219162791967392,9.32543819397688,0.23532995581626892,0.11827770620584488,0.06902046501636505,12.515394449234009
6,0.18466617166996002,0.2812395393848419,0.13831008970737457,0.08380554616451263,9.261161878705025,0.2324361652135849,0.11716799437999725,0.09618878364562988,12.975698947906494
7,0.17678947746753693,0.277744859457016,0.13520857691764832,0.13124696910381317,9.100846946239471,0.2258801907300949,0.11168103665113449,0.15414224565029144,13.403342723846436
8,0.15862353146076202,0.2797541916370392,0.1382586658000946,0.15698380768299103,9.097077883780003,0.22435055673122406,0.11176334321498871,0.18765075504779816,13.080944776535034
9,0.15199734270572662,0.2807425558567047,0.1399431824684143,0.1737888604402542,8.924585836008191,0.22436180710792542,0.11166491359472275,0.20968502759933472,12.737990736961365
10,0.14634285122156143,0.27934420108795166,0.13933686912059784,0.18690498173236847,8.987111635506153,0.22520700097084045,0.11184664815664291,0.22196513414382935,13.110174059867859
11,0.14948035776615143,0.25806474685668945,0.11860477179288864,0.27701085805892944,8.7568653896451,0.20995160937309265,0.09687890857458115,0.3304392993450165,12.059556484222412
12,0.16099218279123306,0.272776335477829,0.13193033635616302,0.24037569761276245,9.082763381302357,0.2164531797170639,0.1023193821310997,0.30923688411712646,11.844502449035645
13,0.13315436989068985,0.2696860134601593,0.12928925454616547,0.2594589293003082,9.583138480782509,0.20703604817390442,0.0964067354798317,0.3574565351009369,9.005923986434937
14,0.12696544080972672,0.2653907537460327,0.1256897896528244,0.29015910625457764,10.520947352051735,0.1986069232225418,0.08969397842884064,0.41490283608436584,8.015066862106323
15,0.12314170598983765,0.2705208659172058,0.1318618506193161,0.28079336881637573,10.380874194204807,0.20536507666110992,0.09400328993797302,0.38570836186408997,10.892513394355774
16,0.12287560477852821,0.2651556730270386,0.12639375030994415,0.30476605892181396,10.187087699770927,0.19473621249198914,0.08749741315841675,0.44997328519821167,7.6353758573532104
17,0.1181085929274559,0.24928642809391022,0.11305078119039536,0.3723098337650299,9.572989523410797,0.1907365620136261,0.08239366859197617,0.5137616395950317,6.9921886920928955
18,0.11833927407860756,0.22514663636684418,0.09354463219642639,0.46806371212005615,10.341380715370178,0.18536916375160217,0.0741024985909462,0.5802826881408691,5.6816688776016235
19,0.10557602345943451,0.20051932334899902,0.0743679627776146,0.5549342036247253,8.80990844964981,0.18808875977993011,0.07343427836894989,0.5801032185554504,5.349116951227188
20,0.10570931062102318,0.19625307619571686,0.06953730434179306,0.5785017013549805,7.87745788693428,0.18896843492984772,0.07571601122617722,0.566338062286377,5.749020636081696
21,0.09507127478718758,0.17365582287311554,0.05567149817943573,0.6714500188827515,7.645713716745377,0.1979048103094101,0.07815616577863693,0.5988355875015259,5.01005120575428
22,0.08811873942613602,0.17136618494987488,0.055377840995788574,0.7092410922050476,7.647678345441818,0.20612172782421112,0.08547744899988174,0.6180652379989624,5.76863420009613
23,0.08221552893519402,0.18323318660259247,0.06771620362997055,0.6712262630462646,7.5660789012908936,0.22300246357917786,0.0999986007809639,0.5871627926826477,5.5336984395980835
24,0.08068379014730453,0.16911372542381287,0.060183629393577576,0.7024607062339783,7.552555561065674,0.21368111670017242,0.09077182412147522,0.6192668676376343,5.573189973831177
25,0.09390968456864357,0.16305799782276154,0.055482469499111176,0.7459205985069275,7.101963490247726,0.22124707698822021,0.09560142457485199,0.6173632740974426,6.593003451824188
26,0.07849019765853882,0.1434629261493683,0.047686781734228134,0.7796552777290344,5.456194162368774,0.2020585834980011,0.08317777514457703,0.6270216703414917,6.040502682328224
27,0.07495320588350296,0.10836204141378403,0.02425132505595684,0.878495454788208,3.7621805518865585,0.17018812894821167,0.06487073004245758,0.6839818954467773,5.749061301350594
28,0.07541008666157722,0.09117504209280014,0.01780948042869568,0.908832311630249,2.3928892984986305,0.18323704600334167,0.07214619964361191,0.647614061832428,9.057121276855469
29,0.06830449216067791,0.08146749436855316,0.015335110016167164,0.9159042835235596,2.4127574265003204,0.16620288789272308,0.05835956335067749,0.6892249584197998,6.379329323768616
30,0.06491729244589806,0.07841838151216507,0.013830255717039108,0.9228994846343994,2.0638114735484123,0.1669473946094513,0.05845818296074867,0.6861891746520996,5.380019098520279
31,0.06749304383993149,0.07302562147378922,0.01261177472770214,0.927214503288269,1.90154779702425,0.1786212921142578,0.06626024842262268,0.6408728361129761,8.254531741142273
32,0.06506882235407829,0.06944457441568375,0.010867859236896038,0.9385514259338379,1.6576462239027023,0.1741054803133011,0.06280475854873657,0.6563482880592346,7.039460718631744
33,0.06298055127263069,0.06701720505952835,0.009342746809124947,0.9503847360610962,1.6643293127417564,0.1703343540430069,0.06114944815635681,0.6899391412734985,5.766846299171448
34,0.0709315836429596,0.07970117032527924,0.013735251501202583,0.932737410068512,2.594486877322197,0.1586746722459793,0.054384443908929825,0.7322627305984497,5.133894234895706
35,0.07098258286714554,0.08670107275247574,0.016215849667787552,0.9051645398139954,1.5652179382741451,0.15297256410121918,0.053553905338048935,0.6851968765258789,4.748785614967346
36,0.06516028940677643,0.0677512064576149,0.009609522297978401,0.9491681456565857,1.5399634577333927,0.1576986163854599,0.0559123195707798,0.7081705331802368,6.3858466148376465
37,0.06172848679125309,0.07099057734012604,0.010945511981844902,0.9439270496368408,2.0414395816624165,0.1571558117866516,0.05600540712475777,0.709588885307312,5.970524191856384
38,0.06182038597762585,0.07008198648691177,0.010649270378053188,0.9434534907341003,1.019648253917694,0.15523867309093475,0.055749617516994476,0.6975535750389099,4.553373456001282
39,0.06274132803082466,0.06245870143175125,0.008293785154819489,0.9585030674934387,1.3695885119959712,0.16499407589435577,0.05920153483748436,0.7119245529174805,5.11619445681572
40,0.06006522290408611,0.07024462521076202,0.01020971592515707,0.9433380961418152,1.4392570201307535,0.1605885922908783,0.057633478194475174,0.6819650530815125,6.377552807331085
41,0.05812165141105652,0.0638480931520462,0.008848292753100395,0.952365517616272,1.0976248141378164,0.15655699372291565,0.05406828969717026,0.6916177272796631,5.2404622957110405
42,0.0598545428365469,0.08633741736412048,0.016870034858584404,0.9216538071632385,4.008258108049631,0.19368186593055725,0.07488291710615158,0.6712568998336792,9.319422245025635
43,0.06367035768926144,0.061011653393507004,0.00787001196295023,0.9594055414199829,1.8777680695056915,0.1735682338476181,0.06004638224840164,0.6961442828178406,5.5907140374183655
44,0.06066890060901642,0.06263423711061478,0.008561955764889717,0.9533194303512573,1.5899338889867067,0.16871187090873718,0.05744639411568642,0.6810805797576904,6.6093703508377075
45,0.06408826261758804,0.07951554656028748,0.014732548967003822,0.9245922565460205,2.014913871884346,0.1900947242975235,0.07791317254304886,0.6378604769706726,9.354681134223938
46,0.06569352373480797,0.06483116745948792,0.009221171028912067,0.9545281529426575,1.3362161964178085,0.18147781491279602,0.06571731716394424,0.7163975238800049,6.4935866594314575
47,0.05981202609837055,0.061509594321250916,0.007969151251018047,0.9594199061393738,2.089865440502763,0.17783379554748535,0.06281852722167969,0.7045368552207947,5.850704669952393
48,0.060812607407569885,0.05583656206727028,0.00657356483861804,0.9661642909049988,1.2728954083286226,0.17921413481235504,0.06368988007307053,0.6782746315002441,5.413658082485199
49,0.05573762394487858,0.06901191920042038,0.010276136919856071,0.9522037506103516,2.560416728258133,0.19789564609527588,0.07644466310739517,0.6614877581596375,7.896658778190613
50,0.05359440855681896,0.05055882781744003,0.005359112750738859,0.9721397161483765,1.2952785640954971,0.18711869418621063,0.06892657279968262,0.6548084616661072,7.086058616638184
51,0.0627876203507185,0.1126648336648941,0.028311679139733315,0.8641971349716187,4.488547842949629,0.20095346868038177,0.08896561712026596,0.5629311800003052,9.387722730636597
52,0.07585751637816429,0.057595957070589066,0.007096330635249615,0.9646270275115967,1.2803805153816938,0.17227186262607574,0.06409725546836853,0.7114981412887573,5.9436668157577515
53,0.06288578547537327,0.09275206178426743,0.020424189046025276,0.9102403521537781,3.543261351529509,0.18809786438941956,0.07665698230266571,0.6966962218284607,9.00475549697876
54,0.06439654156565666,0.0615227185189724,0.007842641323804855,0.9604117274284363,1.983882550150156,0.17130063474178314,0.06210889294743538,0.6973882913589478,6.463999629020691
55,0.058962102979421616,0.06537643074989319,0.008775664493441582,0.9483973383903503,1.6936354711651802,0.16863363981246948,0.061411578208208084,0.6536650657653809,7.694703578948975
56,0.05815734155476093,0.060210246592760086,0.007297139149159193,0.9604537487030029,2.030830480158329,0.16958563029766083,0.062137626111507416,0.6664734482765198,6.675014913082123
57,0.053837740793824196,0.05179491266608238,0.005622211843729019,0.9704153537750244,1.9289514441043139,0.16944850981235504,0.06055089831352234,0.688270092010498,6.314007103443146
58,0.0477492306381464,0.053008969873189926,0.00571215758100152,0.9709944128990173,1.796654298901558,0.1753634810447693,0.06377381086349487,0.6905694007873535,6.010799527168274
59,0.05035106651484966,0.050378452986478806,0.005171830765902996,0.9741958379745483,1.010010190308094,0.1717429906129837,0.06239616125822067,0.6993225812911987,5.793948769569397
60,0.04861224256455898,0.052367765456438065,0.005819096229970455,0.9710955023765564,1.0416682809591293,0.16615088284015656,0.05957281216979027,0.7173417806625366,5.955326706171036
61,0.046754445880651474,0.05041129142045975,0.005476746708154678,0.9722974300384521,1.1682820469141006,0.16287611424922943,0.057934314012527466,0.7205742597579956,6.110967516899109
62,0.047525085508823395,0.046021487563848495,0.004599684849381447,0.9764439463615417,0.7692331951111555,0.16298697888851166,0.057278987020254135,0.712916910648346,5.6837018430233
63,0.04582442715764046,0.04805704951286316,0.005002396181225777,0.9739266633987427,0.7488218136131763,0.16402146220207214,0.05640552565455437,0.6985647678375244,5.4132815301418304
64,0.044031498953700066,0.04841695725917816,0.005106506869196892,0.9736865162849426,1.0113111734390259,0.16612988710403442,0.05563175305724144,0.7004610300064087,6.098508834838867
65,0.04954592324793339,0.04659445211291313,0.0045944578014314175,0.9761435985565186,0.806245842948556,0.1685018092393875,0.056083280593156815,0.7001533508300781,5.558690398931503
66,0.044099193066358566,0.043891988694667816,0.003952088300138712,0.9796041250228882,0.6567321047186852,0.17590248584747314,0.06014978513121605,0.6980597376823425,5.3385834991931915
67,0.044314753264188766,0.04274237900972366,0.0038415095768868923,0.9804909825325012,0.6170752607285976,0.17677167057991028,0.062146492302417755,0.6921520829200745,5.475290864706039
68,0.042078934609889984,0.041396256536245346,0.003735331352800131,0.9810352325439453,0.6493226587772369,0.16872446238994598,0.05870524048805237,0.7028971314430237,5.3805467784404755
69,0.03863966837525368,0.04422542825341225,0.004215605556964874,0.978650689125061,0.8272893354296684,0.1623152494430542,0.05497303232550621,0.7122259140014648,5.048888832330704
70,0.04322723671793938,0.04999871924519539,0.0051599727012217045,0.973594605922699,0.7657473925501108,0.15960794687271118,0.053967345505952835,0.701522171497345,5.1648556143045425
71,0.041623951867222786,0.04531507194042206,0.004352799151092768,0.9777270555496216,0.6152062248438597,0.16437719762325287,0.057132117450237274,0.6904750466346741,5.67644265294075
72,0.041189782321453094,0.041687898337841034,0.0037056615110486746,0.9807958006858826,0.6445734202861786,0.1633860468864441,0.05655724182724953,0.6985170841217041,5.45376867428422
73,0.041015300899744034,0.0421409085392952,0.003723948961123824,0.9804764986038208,0.8110501766204834,0.15847119688987732,0.05266933888196945,0.7199838757514954,5.244246482849121
74,0.03945467807352543,0.03997185826301575,0.0034521210473030806,0.9819445013999939,0.7750571370124817,0.1610042154788971,0.053513094782829285,0.712470531463623,5.339315950870514
75,0.03516361489892006,0.03999793156981468,0.0035175036173313856,0.9816719889640808,0.6503035360947251,0.16647429764270782,0.056614119559526443,0.6938022375106812,5.617909282445908
76,0.03698122315108776,0.039826858788728714,0.003487171372398734,0.9818073511123657,0.6508599845692515,0.16742904484272003,0.05663296580314636,0.6934110522270203,5.490449547767639
77,0.036395590752363205,0.04087984189391136,0.0035863423254340887,0.9812953472137451,1.2151766493916512,0.16504134237766266,0.054891765117645264,0.7176272869110107,5.924464106559753
78,0.03570072166621685,0.03744861111044884,0.003072716761380434,0.9840667843818665,0.9384046345949173,0.16550476849079132,0.055477071553468704,0.7135787606239319,5.685179591178894
79,0.03756454214453697,0.035103294998407364,0.0027709477581083775,0.9856470823287964,0.6298813987523317,0.1664995551109314,0.056317683309316635,0.704702615737915,5.675552785396576
80,0.0360595528036356,0.037064071744680405,0.0030108303762972355,0.9842052459716797,0.585044851526618,0.168547123670578,0.05792053043842316,0.6905943155288696,5.880631253123283
81,0.03800850547850132,0.044267237186431885,0.004122924525290728,0.9779329299926758,0.8413053499534726,0.16785110533237457,0.058088257908821106,0.6793040037155151,6.039196953177452
82,0.03491762466728687,0.0407312735915184,0.0035309006925672293,0.9813441038131714,0.8052670999895781,0.1670113205909729,0.05696926638484001,0.6896013021469116,5.417653396725655
83,0.03544924966990948,0.03639255091547966,0.0028718675021082163,0.9851600527763367,0.6330262050032616,0.16695712506771088,0.05708044767379761,0.6964199542999268,5.360297739505768
84,0.03389677591621876,0.03397072106599808,0.002569671720266342,0.9867727756500244,0.7484579235315323,0.16868580877780914,0.057983338832855225,0.7025521993637085,5.676375985145569
85,0.03675239719450474,0.03470509871840477,0.0026496516074985266,0.9862436056137085,0.8598800078034401,0.16965457797050476,0.05796602740883827,0.7067344784736633,5.829927384853363
86,0.0357009619474411,0.032697442919015884,0.0023743046913295984,0.9875917434692383,0.5900958441197872,0.17067089676856995,0.05788363516330719,0.704226016998291,5.758230954408646
87,0.03248593397438526,0.033444397151470184,0.002456312533468008,0.9869140982627869,0.8190572923049331,0.1714586466550827,0.05873139202594757,0.6909044981002808,5.498530171811581
88,0.03439702559262514,0.041225749999284744,0.0036556043196469545,0.9800166487693787,0.819972506724298,0.17110243439674377,0.058918487280607224,0.6774702668190002,5.536172226071358
89,0.03395001217722893,0.04535800591111183,0.004466637037694454,0.9755939245223999,0.73323141830042,0.17006942629814148,0.05859867483377457,0.6721622347831726,5.440330069512129
90,0.034683652222156525,0.03820018470287323,0.003139893990010023,0.9835861325263977,0.5488889748230577,0.16696207225322723,0.055861715227365494,0.6942757368087769,5.457922846078873
91,0.03214191924780607,0.03373580425977707,0.0025659087114036083,0.9867337346076965,0.7566128484904766,0.16770640015602112,0.05610659718513489,0.7054664492607117,5.744450747966766
92,0.032110252417624,0.035178203135728836,0.0026979087851941586,0.9861190915107727,0.9762714831158519,0.17088820040225983,0.0578346848487854,0.7082534432411194,5.810145080089569
93,0.03139160294085741,0.03314467519521713,0.0024323815014213324,0.9874934554100037,0.7194994520395994,0.1715317964553833,0.058164939284324646,0.708251953125,5.435447245836258
94,0.0318521223962307,0.030430512502789497,0.002128410618752241,0.9889811873435974,0.5229199323803186,0.17188981175422668,0.05845468491315842,0.7008369565010071,5.3700186014175415
95,0.03078841883689165,0.031332362443208694,0.00224871002137661,0.9883861541748047,0.45138112269341946,0.16976825892925262,0.057896677404642105,0.6949754953384399,5.549526393413544
96,0.02983941789716482,0.035645127296447754,0.002770790597423911,0.9857028722763062,0.5055045830085874,0.16613033413887024,0.05632208287715912,0.6939115524291992,5.534940630197525
97,0.03131674136966467,0.03496168553829193,0.0026815682649612427,0.9862494468688965,0.5201567141339183,0.1670827716588974,0.05697144940495491,0.6928728818893433,5.438963249325752
98,0.030717922374606133,0.03449875861406326,0.0025747136678546667,0.9869728088378906,0.737691362388432,0.1683901697397232,0.05802346020936966,0.691612720489502,5.762024313211441
99,0.03147037047892809,0.031907785683870316,0.0022904982324689627,0.9882964491844177,0.7511222111061215,0.16940757632255554,0.057922620326280594,0.6955233812332153,5.706900179386139
100,0.031208334490656853,0.030317330732941628,0.0021098386496305466,0.9890622496604919,0.5388904260471463,0.16961590945720673,0.05723461136221886,0.6998370885848999,5.396133065223694
101,0.028476765379309654,0.02892589569091797,0.0019597597420215607,0.98977130651474,0.545054336078465,0.17006732523441315,0.05714159458875656,0.7014707922935486,5.329885691404343
102,0.03296312689781189,0.028377844020724297,0.0018961232854053378,0.9901479482650757,0.5709841260686517,0.17035123705863953,0.057347364723682404,0.7020399570465088,5.402160733938217
103,0.02793507557362318,0.028530508279800415,0.001907617668621242,0.990119457244873,0.5705888150259852,0.17057986557483673,0.05779276788234711,0.6995658278465271,5.529024973511696
104,0.029974735341966152,0.02875663712620735,0.0019315531244501472,0.9899592399597168,0.5678368117660284,0.17014259099960327,0.057871926575899124,0.6973231434822083,5.60313406586647
105,0.02930326107889414,0.029552236199378967,0.00201454502530396,0.9895843863487244,0.7966470774263144,0.1709851771593094,0.05861373990774155,0.6935253143310547,5.584939539432526
106,0.029746887274086475,0.030379511415958405,0.0021011256612837315,0.9891678690910339,0.8414997821673751,0.17201010882854462,0.05910411849617958,0.6907118558883667,5.494743436574936
