epoch,train_loss,tr_l1,tr_mse,tr_ssim,tr_tc_mm,va_l1,va_mse,va_ssim,va_tc_mm
1,0.1563730832126181,0.14889241755008698,0.060828275978565216,0.5277029871940613,13.252605303743128,0.1155133843421936,0.04000828415155411,0.7018427848815918,9.349467555681864
2,0.1390569605312105,0.12759916484355927,0.04620908573269844,0.5795809030532837,7.38401988606458,0.10367899388074875,0.03148983418941498,0.7104058861732483,9.018575022617975
3,0.1342966718188787,0.12777134776115417,0.04228084906935692,0.6141363978385925,8.589055138371759,0.11416463553905487,0.03110921010375023,0.7101961970329285,8.130767673254013
4,0.1262294869806807,0.12226656824350357,0.036778878420591354,0.682860791683197,8.640813345373687,0.12022750824689865,0.03950237110257149,0.7021005749702454,8.155575384696325
5,0.12518460972834441,0.11754311621189117,0.03771166875958443,0.6477768421173096,8.920902698600697,0.1130860224366188,0.03264551982283592,0.7192411422729492,10.426828861236572
6,0.11652242215508121,0.22114242613315582,0.09178179502487183,0.5625879168510437,10.0613231689243,0.16538523137569427,0.057593345642089844,0.6482552289962769,5.702008326848348
7,0.11583120274846836,0.11626499146223068,0.034494515508413315,0.7071185111999512,7.640745058655739,0.09066055715084076,0.02270044945180416,0.80043625831604,6.747785086433093
8,0.11387958061897148,0.1093854308128357,0.03195545822381973,0.7139079570770264,7.788853436771591,0.11250970512628555,0.02893715724349022,0.7503899931907654,6.685191988945007
9,0.11236143352116569,0.10368343442678452,0.027858808636665344,0.7425261735916138,6.9676740968884046,0.09425761550664902,0.021719088777899742,0.7803478240966797,7.837317675352097
10,0.11123423556150017,0.10984824597835541,0.032246269285678864,0.7504885792732239,7.451852690491636,0.09745406359434128,0.023291360586881638,0.8228020668029785,7.906923512617747
11,0.11262013157040386,0.11063583195209503,0.027792619541287422,0.7613723278045654,5.623029640039145,0.11134298890829086,0.028598910197615623,0.7604636549949646,2.5255838856101036
12,0.10694073405811343,0.11414434760808945,0.03446318581700325,0.7726280689239502,7.3346311321513635,0.1138821691274643,0.03252442926168442,0.8075311183929443,6.760619858900706
13,0.10608762843629062,0.10250474512577057,0.02700696513056755,0.7583590745925903,6.62250565750114,0.10778478533029556,0.02910136617720127,0.7491503357887268,2.9223061005274453
14,0.1059455273009963,0.09924046695232391,0.02768630161881447,0.7648096680641174,6.953116426275948,0.09553946554660797,0.022920353338122368,0.813087522983551,6.534717440605164
15,0.10348028525457544,0.096227265894413,0.025053219869732857,0.786510169506073,6.269901904009156,0.09272255748510361,0.02218967117369175,0.7838825583457947,6.3608048756917315
16,0.0979222353484671,0.09134236723184586,0.023846233263611794,0.8014795780181885,6.0844231021858874,0.08993234485387802,0.021430352702736855,0.8061473965644836,5.684416959683101
17,0.09703835314613278,0.09773368388414383,0.027000021189451218,0.7748557925224304,6.393774752836611,0.11097972095012665,0.03094954788684845,0.7171983122825623,4.717884878317515
18,0.09900025644544828,0.09413259476423264,0.023569440469145775,0.8143898844718933,5.05190191721007,0.1067952811717987,0.02862887643277645,0.7614619135856628,3.4784249663352966
